feature,weight,,,
dA 224,0.811230061,,,
dA 1,0.699848766,,,
dA 63,0.656004709,,63,"566.741,"
dA 64,0.566924345,,,
dA 115,0.551111294,,115,"706.026,"
dA 120,0.549643252,,,
dA 70,0.548386011,,156,"815.849,"
dA 116,0.542231348,,,
dA 119,0.539354173,,,
dA 3,0.537016266,,,
dA 118,0.536409543,,,
dA 117,0.535652196,,,
dA 156,0.534990184,,,
dA 114,0.531771741,,,
dA 2,0.516368372,,,
dA 121,0.486871717,,,
dA 69,0.479037052,,,
dA 113,0.45298862,,,
dA 122,0.39262458,,,
dA 71,0.383885556,,,
dA 68,0.375694012,,,
dA 62,0.350357142,,,
dA 123,0.350126486,,,
dA 75,0.3468206,,,
dA 112,0.340389961,,,
dA 124,0.308936841,,,
dA 76,0.301023322,,,
dA 72,0.29797746,,,
dA 73,0.285610219,,,
dA 159,0.271063014,,,
dA 157,0.262393731,,,
dA 60,0.261723433,,,
dA 125,0.256146915,,,
dA 45,0.248794312,,,
dA 61,0.24172934,,,
dA 81,0.241099231,,,
dA 158,0.234176354,,,
dA 67,0.233476799,,,
dA 59,0.225565674,,,
dA 83,0.221595141,,,
dA 154,0.210048363,,,
dA 37,0.20791126,,,
dA 46,0.204114371,,,
dA 111,0.200902718,,,
dA 36,0.196247482,,,
dA 11,0.194749318,,,
dA 84,0.186920121,,,
dA 77,0.186475416,,,
dA 39,0.184277753,,,
dA 126,0.181485626,,,
dA 160,0.157219295,,,
dA 48,0.155866343,,,
dA 47,0.14136872,,,
dA 127,0.135717855,,,
dA 58,0.135334266,,,
dA 10,0.13532574,,,
dA 49,0.133839696,,,
dA 23,0.131765079,,,
dA 32,0.129741685,,,
dA 5,0.127590001,,,
dA 66,0.122185558,,,
dA 128,0.115611289,,,
dA 15,0.115392592,,,
dA 82,0.108959821,,,
dA 44,0.099580584,,,
dA 40,0.099572988,,,
dA 78,0.09869844,,,
dA 55,0.096128976,,,
dA 220,0.095715527,,,
dA 129,0.091015345,,,
dA 19,0.089330902,,,
dA 14,0.088397808,,,
dA 22,0.083750628,,,
dA 50,0.077889706,,,
dA 198,0.074267224,,,
dA 27,0.074137653,,,
dA 194,0.071947916,,,
dA 13,0.07154911,,,
dA 56,0.069462339,,,
dA 207,0.069206143,,,
dA 16,0.067712371,,,
dA 202,0.065790923,,,
