dA 2,dA 3,dA 4,dA 5,dA 6,dA 7,dA 8,dA 9,dA 10,dA 11,dA 12,dA 13,dA 14,dA 15,dA 16,dA 17,dA 18,dA 19,dA 20,dA 21,dA 22,dA 23,dA 24,dA 25,dA 26,dA 27,dA 28,dA 29,dA 30,dA 31,dA 32,dA 33,dA 34,dA 35,dA 36,dA 37,dA 38,dA 39,dA 40,dA 41,dA 42,dA 43,dA 44,dA 45,dA 46,dA 47,dA 48,dA 49,dA 50,dA 51,dA 52,dA 53,dA 54,dA 55,dA 56,dA 57,dA 58,dA 59,dA 60,dA 61,dA 62,dA 63,dA 64,dA 65,dA 66,dA 67,dA 68,dA 69,dA 70,dA 71,dA 72,dA 73,dA 74,dA 75,dA 76,dA 77,dA 78,dA 79,dA 80,dA 81,dA 82,dA 83,dA 84,dA 85,dA 86,dA 87,dA 88,dA 89,dA 90,dA 91,dA 92,dA 93,dA 94,dA 95,dA 96,dA 97,dA 98,dA 99,dA 100,dA 101,dA 102,dA 103,dA 104,dA 105,dA 106,dA 107,dA 108,dA 109,dA 110,dA 111,dA 112,dA 113,dA 114,dA 115,dA 116,dA 117,dA 118,dA 119,dA 120,dA 121,dA 122,dA 123,dA 124,dA 125,dA 126,dA 127,dA 128,dA 129,dA 130,dA 131,dA 132,dA 133,dA 134,dA 135,dA 136,dA 137,dA 138,dA 139,dA 140,dA 141,dA 142,dA 143,dA 144,dA 145,dA 146,dA 147,dA 148,dA 149,dA 150,dA 151,dA 152,dA 153,dA 154,dA 155,dA 156,dA 157,dA 158,dA 159,dA 160,dA 161,dA 162,dA 163,dA 164,dA 165,dA 166,dA 167,dA 168,dA 169,dA 170,dA 171,dA 172,dA 173,dA 174,dA 175,dA 176,dA 177,dA 178,dA 179,dA 180,dA 181,dA 182,dA 183,dA 184,dA 185,dA 186,dA 187,dA 188,dA 189,dA 190,dA 191,dA 192,dA 193,dA 194,dA 195,dA 196,dA 197,dA 198,dA 199,dA 200,dA 201,dA 202,dA 203,dA 204,dA 205,dA 206,dA 207,dA 208,dA 209,dA 210,dA 211,dA 212,dA 213,dA 214,dA 215,dA 216,dA 217,dA 218,dA 219,dA 220,dA 221,dA 222,dA 223,label
-0.002094,-0.003378,-0.003939,-0.002298,-0.000864,-0.000321,-0.001498,-0.001732,-0.000277,-0.000429,-0.001883,-0.002333,-0.002502,-0.002251,-0.001217,-0.000682,0.000294,0.001639,0.000474,-0.000279,-0.000584,-0.00061,-0.000051,0.000158,-0.000148,0.000279,0.001177,0.000132,-0.00112,-0.000232,0.000374,-0.00074,0.000067,0.001461,0.001813,0.001854,0.002204,0.004077,0.006739,0.008765,0.009983,0.011879,0.014031,0.015755,0.017811,0.017436,0.015399,0.014388,0.012118,0.008646,0.006064,0.003916,0.002322,0.002289,0.002042,0.000873,-0.000292,-0.001823,-0.003475,-0.004874,-0.006327,-0.004628,-0.00357,-0.011273,-0.018209,-0.01397,-0.007422,-0.004279,-0.000501,0.001387,-0.001629,-0.004485,-0.006122,-0.007593,-0.006481,-0.004755,-0.004127,-0.00452,-0.004796,-0.004353,-0.004127,-0.004779,-0.004238,-0.002272,-0.001446,-0.001165,-0.001399,-0.002616,-0.004279,-0.00569,-0.006293,-0.005826,-0.004579,-0.003198,-0.002348,-0.002458,-0.003091,-0.003157,-0.002259,-0.001702,-0.000909,0.000782,0.001785,0.0025,0.003725,0.005425,0.0084,0.01346,0.020344,0.028249,0.035619,0.040203,0.042065,0.041662,0.039634,0.036459,0.032715,0.030241,0.030514,0.029001,0.025293,0.02254,0.020714,0.017742,0.01311,0.010843,0.009577,0.006827,0.004528,0.0027,0.001564,0.000275,-0.003866,-0.007655,-0.004261,0.002259,0.003953,0.002804,0.001219,-0.000561,-0.001253,-0.000882,-0.001103,-0.001443,-0.000858,-0.000256,-0.000139,-0.00087,-0.001809,-0.000538,0.000035,-0.000903,0.003946,0.025363,0.028163,-0.00015,-0.025228,-0.025166,-0.009836,-0.003037,-0.000039,0.001056,0.00074,0.000267,0.000127,0.000114,-0.00044,-0.000171,0.000076,-0.000244,0.000055,-0.000296,-0.001293,-0.001345,-0.000842,-0.000684,-0.001032,-0.000787,-0.00028,-0.000757,-0.001286,-0.004217,-0.004742,-0.002345,-0.001621,-0.000901,-0.00151,-0.001702,-0.000747,-0.000773,-0.000617,-0.000778,-0.00188,-0.002895,-0.003893,-0.003568,-0.004151,-0.004003,-0.001048,-0.0032,-0.005555,-0.004807,-0.004065,-0.001544,-0.005953,-0.004613,0.003277,0.002109,-0.002375,-0.002205,-0.000691,-0.00224,0.001943,0.003725,-0.002249,-0.002954,-0.000614,-0.00233,-0.003125,-0.002662,-0.002869,-0.002754,0
-0.002612,-0.002067,-0.004312,-0.003973,-0.004661,-0.001145,-0.000071,-0.000179,-0.002363,-0.001729,0.000129,-0.001702,-0.002908,-0.00267,-0.001606,0.000723,0.000343,-0.000899,-0.000048,0.000537,0.000835,0.000067,-0.000279,-0.000432,-0.00087,0.000318,0.001201,0.000001,-0.001163,-0.000149,0.000313,-0.000002,0.000356,0.000261,0.000832,0.001345,0.002371,0.004252,0.005769,0.007545,0.008919,0.010313,0.012155,0.013707,0.016603,0.017126,0.015026,0.01368,0.011049,0.008393,0.006578,0.004435,0.002979,0.002694,0.001883,0.000673,-0.000367,-0.001779,-0.003453,-0.005063,-0.006313,-0.004608,-0.003259,-0.010148,-0.017864,-0.014728,-0.008025,-0.004819,-0.00069,0.00208,-0.000725,-0.004518,-0.006498,-0.006832,-0.005349,-0.004099,-0.00386,-0.004091,-0.004419,-0.004229,-0.003749,-0.003725,-0.003287,-0.001713,-0.000586,-0.000686,-0.001077,-0.002033,-0.003172,-0.004057,-0.004777,-0.004761,-0.0039,-0.002795,-0.001723,-0.00212,-0.003156,-0.00294,-0.001677,-0.001456,-0.001199,0.000386,0.001694,0.002689,0.003794,0.005267,0.007402,0.0124,0.018958,0.026203,0.034288,0.040891,0.044237,0.04415,0.042856,0.04152,0.040614,0.040828,0.039929,0.034714,0.030806,0.028017,0.021916,0.016214,0.012563,0.011225,0.009647,0.00721,0.005138,0.003469,0.002931,0.002396,0.003613,0.005302,-0.000148,-0.006304,-0.004139,-0.000021,0.001358,0.000651,-0.000383,-0.000032,-0.00042,-0.000211,0.000331,0.000138,0.000401,0.000573,-0.001087,-0.001261,0.001256,0.001622,0.002124,0.011966,0.015054,0.000129,-0.014582,-0.010773,-0.001134,-0.000415,-0.000783,-0.00114,-0.000441,-0.000383,-0.001109,-0.000812,0.000194,0.00103,0.000079,-0.001528,-0.000108,0.000887,0.000193,-0.001301,-0.000975,0.000296,-0.001173,-0.000952,0.000851,0.000067,-0.000393,0.000768,0.001354,0.001566,-0.000499,-0.001845,0.000735,0.00024,-0.000428,-0.000896,-0.003242,-0.002383,-0.00024,0.000723,0.001963,0.003429,-0.000365,-0.005788,-0.0042,-0.000882,-0.001341,-0.006265,-0.007337,-0.004914,-0.005996,-0.007088,-0.001736,0.003211,-0.00424,-0.008703,-0.002323,-0.000638,-0.000319,0.002275,-0.002509,-0.004263,-0.004543,-0.003301,0.002967,-0.00053,-0.006447,-0.000057,0
-0.005203,-0.00271,-0.003577,-0.002542,-0.00188,-0.000654,-0.001695,-0.00086,-0.000095,-0.000037,-0.001592,-0.003687,-0.00283,-0.002278,-0.002369,-0.001662,-0.000023,0.0018,0.000504,-0.001356,-0.001271,-0.000331,0.000546,0.001685,0.001857,-0.000856,-0.001472,-0.001364,-0.00181,-0.000876,-0.000297,-0.000022,0.000591,0.000844,0.003425,0.006744,0.003636,-0.001404,0.000615,0.005457,0.00764,0.010207,0.01277,0.013106,0.013614,0.01486,0.014704,0.013055,0.010729,0.007879,0.005729,0.004127,0.003119,0.003569,0.003185,0.001897,0.002228,0.00346,0.003625,0.00022,-0.002994,0.00383,0.004294,-0.015375,-0.027411,-0.016622,-0.004728,-0.000672,0.003034,0.002784,-0.00081,-0.002638,-0.006409,-0.010658,-0.009987,-0.007881,-0.006598,-0.00634,-0.005423,-0.003002,-0.003649,-0.007258,-0.00661,-0.003084,-0.001722,-0.001286,-0.001497,-0.002467,-0.003919,-0.005034,-0.004911,-0.004399,-0.003779,-0.002585,-0.001699,-0.001957,-0.002596,-0.002513,-0.001687,-0.000902,-0.000132,0.000877,0.001859,0.002641,0.00321,0.004268,0.006292,0.009846,0.016474,0.025158,0.033103,0.039318,0.042528,0.04268,0.04211,0.040728,0.038418,0.037258,0.037,0.034071,0.030218,0.027131,0.023603,0.018836,0.014379,0.012403,0.010649,0.008213,0.005908,0.003897,0.002053,0.000735,-0.000374,-0.001246,0.00492,0.011702,0.004316,-0.006688,-0.009748,-0.005393,-0.001267,-0.001036,-0.000887,-0.000742,0.000045,0.000571,0.000371,-0.000215,-0.000261,0.000748,0.001106,0.003074,0.02505,0.082454,0.076202,-0.003462,-0.068667,-0.07292,-0.031589,-0.010351,-0.004058,-0.002131,-0.000507,-0.000008,-0.000682,-0.000698,-0.000899,0.000045,0.000228,-0.000649,0.000432,0.000279,-0.001164,-0.001791,-0.00115,-0.000802,-0.000381,0.000271,-0.00007,-0.000709,-0.00097,-0.001418,-0.002248,-0.001951,-0.001303,-0.001437,-0.001907,-0.00074,0.000148,-0.000659,-0.000471,-0.001585,-0.002169,-0.001436,-0.001968,-0.000648,-0.000922,-0.003801,-0.002879,-0.001925,-0.003031,-0.004579,-0.004729,-0.002692,-0.004635,-0.004728,0.000581,0.001681,-0.001747,-0.001493,-0.000999,-0.002659,0.001012,0.001559,-0.003558,-0.002144,-0.000231,-0.00073,-0.001426,-0.002348,-0.002065,-0.001692,0
-0.006795,-0.004692,-0.00563,-0.00058,-0.000677,-0.002311,-0.001616,-0.00045,-0.000572,-0.001289,-0.002878,-0.001942,-0.00119,-0.001952,-0.001197,-0.001088,0.000512,0.001874,0.000209,-0.001157,-0.001302,-0.000512,0.001468,0.001885,0.00059,-0.001518,-0.001662,-0.000936,-0.001365,-0.000524,-0.000381,0.000037,0.000571,0.000706,0.003998,0.007428,0.004536,-0.000964,0.000623,0.006736,0.009196,0.011332,0.013974,0.013425,0.013779,0.015009,0.014675,0.013272,0.010597,0.007791,0.005498,0.00349,0.003073,0.003493,0.003,0.0024,0.002923,0.004879,0.005266,0.001215,-0.001926,0.005229,0.00493,-0.016712,-0.0288,-0.016597,-0.004162,0.000141,0.002969,0.000068,-0.003716,-0.001239,-0.003875,-0.01054,-0.010782,-0.008498,-0.007537,-0.007445,-0.006266,-0.003532,-0.004172,-0.008419,-0.007487,-0.003526,-0.002193,-0.001723,-0.001874,-0.002829,-0.004382,-0.005688,-0.005878,-0.005538,-0.004615,-0.003084,-0.002369,-0.002231,-0.002716,-0.003307,-0.002413,-0.001198,-0.000624,0.000345,0.001564,0.001954,0.002802,0.00425,0.006676,0.011118,0.017196,0.025271,0.032435,0.037124,0.039191,0.038641,0.037159,0.035519,0.032488,0.029348,0.029154,0.028066,0.024654,0.022026,0.020056,0.018156,0.014058,0.010062,0.009035,0.007414,0.004613,0.002818,0.001794,-0.000256,-0.004889,-0.006966,0.004908,0.016249,0.007794,-0.006304,-0.009948,-0.005335,-0.001579,-0.00125,-0.001738,-0.001885,-0.000682,0.00045,0.000018,-0.000418,-0.000028,0.001092,0.001471,0.001829,0.025533,0.094427,0.091781,-0.004328,-0.08523,-0.085664,-0.034058,-0.010208,-0.003053,-0.001275,-0.000752,-0.000025,-0.000364,-0.000814,-0.000416,-0.000586,-0.000194,0.000342,-0.000175,-0.000123,-0.000867,-0.002115,-0.001592,-0.000635,-0.00061,-0.000048,-0.000316,-0.000931,-0.001873,-0.003389,-0.00371,-0.002933,-0.001218,-0.000491,-0.00134,-0.001581,-0.001022,-0.00109,-0.000356,-0.000555,-0.001149,-0.002794,-0.004431,-0.002715,-0.002281,-0.002441,-0.002038,-0.002333,-0.002447,-0.00265,-0.0037,-0.003123,-0.003172,-0.003442,-0.000686,0.001427,0.000756,-0.000753,-0.001906,-0.000586,0.000878,0.001541,0.002408,0.000511,-0.001229,-0.001993,-0.00219,-0.000645,-0.002613,-0.003487,0
0.000187,-0.006206,-0.004932,0.000095,-0.000196,-0.002604,-0.005842,-0.003817,0.000997,-0.002131,-0.002352,-0.002491,-0.002456,-0.00131,-0.002324,-0.000634,0.001038,0.002424,0.00024,-0.002761,-0.002024,-0.00013,0.001583,0.001032,0.000024,-0.000993,-0.000946,-0.001024,-0.002738,-0.00248,-0.000414,-0.0004,0.000452,0.001698,0.003921,0.007432,0.004303,-0.001017,0.001537,0.007746,0.011923,0.014775,0.015871,0.016679,0.018553,0.019028,0.0176,0.016308,0.013751,0.010603,0.007143,0.004005,0.003397,0.004174,0.003531,0.002295,0.003049,0.005506,0.005957,0.000971,-0.000389,0.011327,0.008571,-0.024953,-0.042806,-0.024064,-0.005341,0.002279,0.007967,0.004361,-0.003186,-0.003714,-0.008454,-0.016022,-0.015716,-0.012859,-0.011023,-0.009974,-0.007633,-0.004534,-0.006043,-0.010819,-0.009259,-0.004206,-0.00296,-0.002635,-0.002075,-0.003235,-0.004909,-0.006151,-0.00699,-0.006551,-0.005425,-0.00348,-0.002384,-0.003106,-0.003635,-0.003044,-0.002334,-0.00158,-0.0004,0.000526,0.001625,0.002218,0.003074,0.004577,0.00709,0.01265,0.021109,0.030938,0.039687,0.04687,0.050417,0.050235,0.049066,0.046398,0.042403,0.038649,0.037793,0.036001,0.031741,0.028975,0.025795,0.022305,0.018263,0.013459,0.010706,0.00879,0.006041,0.003951,0.00202,-0.0002,-0.004482,-0.006758,0.007422,0.020068,0.007648,-0.009463,-0.011107,-0.005268,-0.001725,-0.001502,-0.002281,-0.001795,-0.001359,0.000131,0.000654,0.000158,0.000286,0.001302,0.001696,0.002246,0.037093,0.141932,0.138984,-0.018417,-0.138641,-0.118985,-0.039725,-0.011153,-0.003613,-0.001581,-0.000356,-0.000113,-0.000505,-0.001465,-0.001594,-0.000516,0.000368,0.000848,0.000278,-0.00069,-0.001952,-0.001514,-0.000597,-0.001244,-0.000864,0.000267,-0.001138,-0.001692,-0.001576,-0.004447,-0.004815,-0.002768,-0.002443,-0.001026,-0.000891,-0.001995,-0.00059,-0.000282,0.000213,-0.001623,-0.002253,-0.002893,-0.004541,-0.002692,-0.003433,-0.003869,-0.002099,-0.001682,-0.0023,-0.001836,-0.003463,-0.005346,-0.005879,-0.00283,0.000344,0.000906,-0.000976,-0.001014,-0.001641,-0.002534,0.001432,0.003179,0.00015,-0.002782,-0.001034,0.002153,0.001181,-0.004176,-0.003568,-0.00164,0
-0.003866,-0.004226,-0.005335,-0.001785,-0.000803,-0.000623,-0.003325,-0.001896,0.00047,-0.001486,-0.002287,-0.001592,-0.000949,-0.002676,-0.001241,-0.000703,0.000578,0.002039,-0.000147,-0.001904,-0.001529,0.000193,0.00152,0.001656,0.000823,-0.00085,-0.001578,-0.000984,-0.001753,-0.000878,-0.000189,0.000283,0.000455,0.0007,0.004334,0.007308,0.004151,-0.001327,0.000337,0.005991,0.008107,0.010991,0.014084,0.012474,0.012404,0.014565,0.014585,0.012664,0.009979,0.007998,0.005851,0.003954,0.00374,0.004084,0.003329,0.002336,0.003067,0.005385,0.006233,0.002257,-0.000477,0.008006,0.007031,-0.017848,-0.031226,-0.017159,-0.003419,0.000997,0.00407,0.001763,-0.002198,-0.001347,-0.005248,-0.011925,-0.011786,-0.009203,-0.007693,-0.007329,-0.00594,-0.003157,-0.004049,-0.008335,-0.007382,-0.003285,-0.00208,-0.001603,-0.001791,-0.002967,-0.004445,-0.005681,-0.005701,-0.005099,-0.004327,-0.002961,-0.002332,-0.00217,-0.002467,-0.002934,-0.002112,-0.001223,-0.00078,0.000444,0.001607,0.001782,0.002679,0.004441,0.006971,0.011583,0.018176,0.02673,0.034243,0.039063,0.04157,0.041328,0.039814,0.037963,0.036252,0.035045,0.034018,0.031181,0.027645,0.024531,0.020761,0.017722,0.014091,0.009906,0.008634,0.00759,0.004956,0.003524,0.002431,0.000773,-0.000799,-0.000524,0.00778,0.014762,0.004661,-0.00935,-0.011391,-0.005799,-0.001509,-0.000588,-0.000841,-0.00076,0.000306,0.000534,0.000536,0.000696,0.000586,0.00075,0.001199,0.003283,0.027484,0.099509,0.097805,-0.007377,-0.093718,-0.087171,-0.031199,-0.009766,-0.003555,-0.002078,-0.001247,-0.000634,-0.000685,-0.000366,0.000195,-0.000159,-0.000526,0.000007,0.000066,0.000192,-0.00086,-0.002051,-0.001364,-0.00078,-0.000165,0.000581,-0.000507,-0.000539,-0.000742,-0.001638,-0.001408,-0.001077,-0.001589,-0.001518,-0.000795,-0.000376,0.000154,-0.000877,-0.001176,-0.001361,-0.001463,-0.00169,-0.001836,-0.000767,-0.002024,-0.003122,-0.002578,-0.002765,-0.002739,-0.003071,-0.004534,-0.004872,-0.005333,-0.004829,-0.000404,0.000406,-0.000918,-0.001653,-0.002164,-0.000177,0.000623,-0.000312,0.000619,-0.000028,-0.002925,-0.001795,-0.002683,-0.00125,-0.000018,-0.001879,0
-0.003687,-0.001487,-0.00388,-0.00259,-0.000286,-0.001157,-0.00255,-0.003581,0.000358,0.000369,-0.001893,-0.001801,-0.00152,-0.000654,-0.000671,-0.000094,0.001958,0.004082,0.000786,-0.003642,-0.001345,0.001081,0.002155,0.003888,0.002086,-0.002564,-0.002021,-0.000318,-0.002507,-0.001731,0.000119,0.000369,0.00097,0.002176,0.007061,0.012676,0.006944,-0.003429,-0.001408,0.006663,0.010615,0.013945,0.014636,0.012343,0.013281,0.01514,0.01417,0.012137,0.010027,0.008293,0.00629,0.003665,0.003554,0.005006,0.003601,0.002668,0.005456,0.009736,0.01109,0.005297,0.002943,0.016559,0.012507,-0.024878,-0.041223,-0.019768,-0.001386,0.004798,0.007851,0.001544,-0.003054,0.001005,-0.005002,-0.01591,-0.016584,-0.013108,-0.010583,-0.009293,-0.006759,-0.002787,-0.004951,-0.011026,-0.00914,-0.004025,-0.002768,-0.002248,-0.002093,-0.003203,-0.004771,-0.006376,-0.006563,-0.005922,-0.005119,-0.003118,-0.002381,-0.003214,-0.003944,-0.003796,-0.003363,-0.002408,-0.001312,-0.00041,0.00082,0.00175,0.003754,0.006604,0.009442,0.014121,0.02022,0.027109,0.032803,0.037518,0.040751,0.040268,0.039139,0.037303,0.034027,0.031534,0.031392,0.030386,0.026674,0.024159,0.02224,0.019511,0.015595,0.010989,0.009738,0.008026,0.005001,0.003797,0.001717,-0.000732,-0.004844,-0.005732,0.013213,0.028099,0.009151,-0.01495,-0.017632,-0.008669,-0.001958,-0.000933,-0.002327,-0.002332,-0.000202,0.001206,0.000756,0.001424,0.001192,0.001725,0.002342,0.004367,0.050456,0.181726,0.171128,-0.023794,-0.169128,-0.151369,-0.053518,-0.015372,-0.005272,-0.002396,-0.001236,-0.000469,-0.000644,-0.001022,-0.000961,-0.00055,0.000372,0.000939,0.00004,-0.000137,-0.001005,-0.002438,-0.001781,-0.00076,-0.000507,-0.000352,-0.001056,-0.000857,-0.001921,-0.003973,-0.004229,-0.0022,-0.001125,-0.002171,-0.001368,-0.000491,0.000083,-0.001222,-0.000883,-0.000959,-0.002283,-0.003394,-0.00502,-0.002456,-0.003359,-0.003244,-0.001668,-0.00258,-0.002253,-0.003649,-0.004257,-0.004783,-0.006126,-0.003042,0.000959,0.001912,-0.001338,-0.003219,-0.001874,0.001014,0.002442,0.000876,-0.00041,0.000779,0.000287,0.000196,-0.00091,-0.005278,-0.003783,-0.001742,0
-0.001469,-0.002139,-0.003813,-0.002395,-0.002737,-0.000875,-0.000522,-0.000403,-0.000795,-0.001126,-0.000704,-0.000755,-0.000919,-0.001724,-0.001897,-0.000036,0.00082,0.001131,0.000622,-0.001465,-0.001587,-0.000522,0.000616,0.00284,0.002134,-0.001442,-0.001333,-0.000324,-0.001849,-0.001104,-0.000214,-0.000204,0.000822,0.001213,0.003919,0.008046,0.005588,-0.001426,-0.000805,0.005056,0.00855,0.011507,0.013687,0.013194,0.014388,0.015579,0.014495,0.013756,0.011084,0.008242,0.006674,0.004486,0.003283,0.004002,0.003632,0.002508,0.00302,0.004867,0.005275,0.001724,-0.001445,0.005706,0.006787,-0.013845,-0.029537,-0.019345,-0.004866,0.000128,0.003964,0.002899,-0.00164,-0.002346,-0.005271,-0.01071,-0.011276,-0.009433,-0.007897,-0.007067,-0.005958,-0.003384,-0.003739,-0.008332,-0.007839,-0.003402,-0.001666,-0.001703,-0.00198,-0.003001,-0.004262,-0.005153,-0.005931,-0.005397,-0.004355,-0.003143,-0.002098,-0.002249,-0.00316,-0.003472,-0.002271,-0.001375,-0.000907,0.000483,0.001325,0.001989,0.003411,0.004781,0.006866,0.012145,0.019201,0.026627,0.034461,0.040559,0.043918,0.043857,0.041961,0.040202,0.039052,0.039253,0.038153,0.032979,0.029426,0.026906,0.02111,0.015675,0.012048,0.010532,0.009233,0.006938,0.00461,0.003046,0.002316,0.001676,0.002556,0.004596,0.008868,0.009491,0.001138,-0.008928,-0.011658,-0.00624,-0.001492,-0.000362,-0.000718,0.000181,0.001128,0.001138,0.001032,0.000478,0.000278,0.000491,0.001881,0.004653,0.026062,0.076647,0.06905,0.000492,-0.058757,-0.069217,-0.03314,-0.011141,-0.005045,-0.002865,-0.001959,-0.001313,-0.001165,-0.000653,-0.000206,0.000507,-0.000232,-0.000948,0.000105,0.000399,-0.000177,-0.001613,-0.00178,-0.000321,-0.000245,-0.000489,0.000283,-0.000542,-0.000443,0.000457,0.000547,0.00019,-0.001179,-0.001059,0.000138,-0.000283,-0.000968,-0.000401,-0.001696,-0.003104,-0.001294,0.000436,0.001157,0.001777,-0.001872,-0.005846,-0.002648,-0.00072,-0.004035,-0.005947,-0.005563,-0.005468,-0.006059,-0.00523,-0.001001,-0.000582,-0.003711,-0.005288,-0.002628,-0.001069,0.000912,0.002882,-0.001721,-0.006861,-0.005694,-0.002107,0.000112,-0.00137,-0.005234,-0.001887,0
-0.001469,-0.002139,-0.003813,-0.002395,-0.002737,-0.000875,-0.000522,-0.000403,-0.000795,-0.001126,-0.000704,-0.000755,-0.000919,-0.001724,-0.001897,-0.000036,0.00082,0.001131,0.000622,-0.001465,-0.001587,-0.000522,0.000616,0.00284,0.002134,-0.001442,-0.001333,-0.000324,-0.001849,-0.001104,-0.000214,-0.000204,0.000822,0.001213,0.003919,0.008046,0.005588,-0.001426,-0.000805,0.005056,0.00855,0.011507,0.013687,0.013194,0.014388,0.015579,0.014495,0.013756,0.011084,0.008242,0.006674,0.004486,0.003283,0.004002,0.003632,0.002508,0.00302,0.004867,0.005275,0.001724,-0.001445,0.005706,0.006787,-0.013845,-0.029537,-0.019345,-0.004866,0.000128,0.003964,0.002899,-0.00164,-0.002346,-0.005271,-0.01071,-0.011276,-0.009433,-0.007897,-0.007067,-0.005958,-0.003384,-0.003739,-0.008332,-0.007839,-0.003402,-0.001666,-0.001703,-0.00198,-0.003001,-0.004262,-0.005153,-0.005931,-0.005397,-0.004355,-0.003143,-0.002098,-0.002249,-0.00316,-0.003472,-0.002271,-0.001375,-0.000907,0.000483,0.001325,0.001989,0.003411,0.004781,0.006866,0.012145,0.019201,0.026627,0.034461,0.040559,0.043918,0.043857,0.041961,0.040202,0.039052,0.039253,0.038153,0.032979,0.029426,0.026906,0.02111,0.015675,0.012048,0.010532,0.009233,0.006938,0.00461,0.003046,0.002316,0.001676,0.002556,0.004596,0.008868,0.009491,0.001138,-0.008928,-0.011658,-0.00624,-0.001492,-0.000362,-0.000718,0.000181,0.001128,0.001138,0.001032,0.000478,0.000278,0.000491,0.001881,0.004653,0.026062,0.076647,0.06905,0.000492,-0.058757,-0.069217,-0.03314,-0.011141,-0.005045,-0.002865,-0.001959,-0.001313,-0.001165,-0.000653,-0.000206,0.000507,-0.000232,-0.000948,0.000105,0.000399,-0.000177,-0.001613,-0.00178,-0.000321,-0.000245,-0.000489,0.000283,-0.000542,-0.000443,0.000457,0.000547,0.00019,-0.001179,-0.001059,0.000138,-0.000283,-0.000968,-0.000401,-0.001696,-0.003104,-0.001294,0.000436,0.001157,0.001777,-0.001872,-0.005846,-0.002648,-0.00072,-0.004035,-0.005947,-0.005563,-0.005468,-0.006059,-0.00523,-0.001001,-0.000582,-0.003711,-0.005288,-0.002628,-0.001069,0.000912,0.002882,-0.001721,-0.006861,-0.005694,-0.002107,0.000112,-0.00137,-0.005234,-0.001887,0
-0.005581,-0.001838,-0.002937,-0.002136,-0.002353,-0.001335,-0.001805,-0.000609,-0.000032,0.000481,-0.001682,-0.00426,-0.002544,-0.002061,-0.001484,-0.000166,-0.000506,0.000671,0.001109,-0.000349,-0.000435,0.000271,-0.000136,-0.000792,0.000394,0.000941,0.00027,-0.00089,-0.000763,-0.000196,-0.000088,0.000551,0.000979,0.001138,0.001827,0.002148,0.002197,0.005175,0.007938,0.008869,0.010225,0.011166,0.012897,0.01579,0.017253,0.016539,0.015051,0.012926,0.010455,0.007845,0.005878,0.004078,0.002686,0.002723,0.002031,0.000396,-0.000706,-0.002199,-0.003768,-0.004844,-0.005864,-0.004619,-0.00368,-0.009018,-0.014261,-0.011318,-0.006555,-0.004583,-0.00143,0.001564,-0.000397,-0.00458,-0.006757,-0.006884,-0.00508,-0.003529,-0.002833,-0.003213,-0.003866,-0.003734,-0.003453,-0.003601,-0.003349,-0.001959,-0.001059,-0.000726,-0.001252,-0.002976,-0.00528,-0.007112,-0.007073,-0.006313,-0.005113,-0.003342,-0.002249,-0.002372,-0.003297,-0.003893,-0.003426,-0.002413,-0.001249,0.000035,0.001332,0.002724,0.0042,0.006735,0.011269,0.017204,0.024778,0.03202,0.036539,0.039101,0.038648,0.035802,0.033346,0.030473,0.027005,0.024851,0.023855,0.021414,0.018638,0.016837,0.014501,0.011101,0.008136,0.007202,0.006586,0.005102,0.003225,0.00171,0.000666,0.000226,-0.000574,-0.002182,-0.001797,0.001168,0.002043,0.000534,-0.000872,-0.000996,-0.000555,-0.000781,-0.000688,-0.000617,0.000194,0.000533,-0.000383,-0.001022,-0.001197,-0.000738,-0.00054,-0.000414,-0.001212,0.005985,0.011116,0.000205,-0.010307,-0.006449,-0.000204,0.000022,0.00027,0.00015,0.000852,0.000722,-0.000103,0.000065,-0.000369,0.000161,0.000374,-0.000471,0.000068,0.000112,-0.000213,-0.000566,-0.001107,-0.001379,-0.000364,0.000719,0.000144,-0.000698,-0.000472,-0.000898,-0.002099,-0.002056,-0.001084,-0.000935,-0.001669,-0.000655,0.000003,-0.000494,0.000195,-0.001336,-0.002474,-0.001636,-0.001583,-0.001678,-0.001012,-0.002498,-0.002772,-0.002154,-0.003965,-0.005011,-0.00426,-0.002504,-0.004157,-0.004712,0.001097,0.002834,-0.001616,-0.001615,-0.002041,-0.002323,0.002034,0.001244,-0.00416,-0.002163,0.00108,-0.000593,-0.00164,-0.001614,0.0003,0.001263,0
