feature,weight
dA 1,0.0
dA 2,0.0
dA 3,0.0
dA 4,0.0
dA 5,0.0
dA 6,0.0
dA 7,0.0
dA 8,0.0
dA 9,0.0
dA 10,0.0
dA 11,0.0
dA 12,0.0
dA 13,0.0
dA 14,0.0
dA 15,0.0
dA 16,0.0
dA 17,0.0
dA 18,0.0
dA 19,0.0
dA 20,0.0
dA 21,0.0
dA 22,0.0
dA 23,0.0
dA 24,0.0
dA 25,0.0
dA 26,0.0
dA 27,0.0
dA 28,0.0
dA 29,0.0
dA 30,0.0
dA 31,0.0
dA 32,0.0
dA 33,0.0
dA 34,0.0
dA 35,0.0
dA 36,0.0
dA 37,0.0
dA 38,0.0
dA 39,0.0
dA 40,0.0
dA 41,0.0
dA 42,0.0
dA 43,0.0
dA 44,0.0
dA 45,0.0
dA 46,0.0
dA 47,0.0
dA 48,0.0
dA 49,0.0
dA 50,0.0
dA 51,0.0
dA 52,0.0
dA 53,0.0
dA 54,0.0
dA 55,0.0
dA 56,0.0
dA 57,0.0
dA 58,0.0
dA 59,0.0
dA 60,0.0
dA 61,0.0
dA 62,0.0
dA 63,0.0
dA 64,0.0
dA 65,0.0
dA 66,0.0
dA 67,0.0
dA 68,0.0
dA 69,0.0
dA 70,0.0
dA 71,0.0
dA 72,0.0
dA 73,0.0
dA 74,0.0
dA 75,0.0
dA 76,0.0
dA 77,0.0
dA 78,0.0
dA 79,0.0
dA 80,0.0
dA 81,0.0
dA 82,0.0
dA 83,0.0
dA 84,0.0
dA 85,0.0
dA 86,0.0
dA 87,0.0
dA 88,0.0
dA 89,0.0
dA 90,0.0
dA 91,0.0
dA 92,0.0
dA 93,0.0
dA 94,0.0
dA 95,0.0
dA 96,0.0
dA 97,0.0
dA 98,0.0
dA 99,0.0
dA 100,0.0
dA 101,0.0
dA 102,0.0
dA 103,0.0
dA 104,0.0
dA 105,0.0
dA 106,0.0
dA 107,0.0
dA 108,0.0
dA 109,0.0
dA 110,0.0
dA 111,0.0
dA 112,0.0
dA 113,0.0
dA 114,0.0
dA 115,0.0
dA 116,0.0
dA 117,0.0
dA 118,0.0
dA 119,0.0
dA 120,0.0
dA 121,0.0
dA 122,0.0
dA 123,0.0
dA 124,0.0
dA 125,0.0
dA 126,0.0
dA 127,0.0
dA 128,0.0
dA 129,0.0
dA 130,0.0
dA 131,0.0
dA 132,0.0
dA 133,0.0
dA 134,0.0
dA 135,0.0
dA 136,0.0
dA 137,0.0
dA 138,0.0
dA 139,0.0
dA 140,0.0
dA 141,0.0
dA 142,0.0
dA 143,0.0
dA 144,0.0
dA 145,0.0
dA 146,0.0
dA 147,0.0
dA 148,0.0
dA 149,0.0
dA 150,0.0
dA 151,0.0
dA 152,0.0
dA 153,0.0
dA 154,0.0
dA 155,0.0
dA 156,0.0
dA 157,0.0
dA 158,0.0
dA 159,0.0
dA 160,0.0
dA 161,0.0
dA 162,0.0
dA 163,0.0
dA 164,0.0
dA 165,0.0
dA 166,0.0
dA 167,0.0
dA 168,0.0
dA 169,0.0
dA 170,0.0
dA 171,0.0
dA 172,0.0
dA 173,0.0
dA 174,0.0
dA 175,0.0
dA 176,0.0
dA 177,0.0
dA 178,0.0
dA 179,0.0
dA 180,0.0
dA 181,0.0
dA 182,0.0
dA 183,0.0
dA 184,0.0
dA 185,0.0
dA 186,0.0
dA 187,0.0
dA 188,0.0
dA 189,0.0
dA 190,0.0
dA 191,0.0
dA 192,0.0
dA 193,0.0
dA 194,0.0
dA 195,0.0
dA 196,0.0
dA 197,0.0
dA 198,0.0
dA 199,0.0
dA 200,0.0
dA 201,0.0
dA 202,0.0
dA 203,0.0
dA 204,0.0
dA 205,0.0
dA 206,0.0
dA 207,0.0
dA 208,0.0
dA 209,0.0
dA 210,0.0
dA 211,0.0
dA 212,0.0
dA 213,0.0
dA 214,0.0
dA 215,0.0
dA 216,0.0
dA 217,0.0
dA 218,0.0
dA 219,0.0
dA 220,0.0
dA 221,0.0
dA 222,0.0
dA 223,0.0
dA 224,0.0
