feature,weight
dA 1,57
dA 2,23
dA 3,1
dA 4,157
dA 5,100
dA 6,152
dA 7,37
dA 8,91
dA 9,61
dA 10,19
dA 11,1
dA 12,24
dA 13,122
dA 14,93
dA 15,67
dA 16,159
dA 17,211
dA 18,103
dA 19,124
dA 20,170
dA 21,119
dA 22,33
dA 23,30
dA 24,73
dA 25,40
dA 26,41
dA 27,83
dA 28,75
dA 29,140
dA 30,176
dA 31,80
dA 32,25
dA 33,203
dA 34,47
dA 35,194
dA 36,117
dA 37,38
dA 38,15
dA 39,196
dA 40,71
dA 41,149
dA 42,116
dA 43,212
dA 44,26
dA 45,13
dA 46,64
dA 47,70
dA 48,48
dA 49,58
dA 50,101
dA 51,99
dA 52,102
dA 53,85
dA 54,186
dA 55,104
dA 56,166
dA 57,199
dA 58,76
dA 59,27
dA 60,39
dA 61,81
dA 62,42
dA 63,43
dA 64,44
dA 65,108
dA 66,129
dA 67,21
dA 68,36
dA 69,16
dA 70,1
dA 71,1
dA 72,1
dA 73,54
dA 74,17
dA 75,28
dA 76,45
dA 77,59
dA 78,156
dA 79,190
dA 80,98
dA 81,22
dA 82,90
dA 83,79
dA 84,111
dA 85,154
dA 86,151
dA 87,147
dA 88,144
dA 89,109
dA 90,66
dA 91,29
dA 92,31
dA 93,55
dA 94,53
dA 95,68
dA 96,126
dA 97,127
dA 98,87
dA 99,69
dA 100,51
dA 101,50
dA 102,60
dA 103,89
dA 104,163
dA 105,198
dA 106,118
dA 107,32
dA 108,7
dA 109,1
dA 110,10
dA 111,1
dA 112,5
dA 113,12
dA 114,2
dA 115,3
dA 116,8
dA 117,6
dA 118,1
dA 119,11
dA 120,1
dA 121,1
dA 122,20
dA 123,18
dA 124,9
dA 125,14
dA 126,52
dA 127,97
dA 128,88
dA 129,92
dA 130,106
dA 131,162
dA 132,188
dA 133,185
dA 134,183
dA 135,178
dA 136,145
dA 137,214
dA 138,136
dA 139,164
dA 140,146
dA 141,174
dA 142,142
dA 143,204
dA 144,172
dA 145,155
dA 146,179
dA 147,158
dA 148,131
dA 149,209
dA 150,184
dA 151,180
dA 152,208
dA 153,192
dA 154,95
dA 155,94
dA 156,132
dA 157,210
dA 158,133
dA 159,46
dA 160,96
dA 161,123
dA 162,175
dA 163,169
dA 164,167
dA 165,197
dA 166,215
dA 167,150
dA 168,171
dA 169,177
dA 170,161
dA 171,193
dA 172,189
dA 173,187
dA 174,138
dA 175,148
dA 176,202
dA 177,181
dA 178,143
dA 179,207
dA 180,206
dA 181,173
dA 182,137
dA 183,135
dA 184,160
dA 185,125
dA 186,134
dA 187,153
dA 188,201
dA 189,213
dA 190,200
dA 191,182
dA 192,205
dA 193,113
dA 194,62
dA 195,141
dA 196,105
dA 197,191
dA 198,56
dA 199,128
dA 200,130
dA 201,86
dA 202,34
dA 203,82
dA 204,195
dA 205,84
dA 206,63
dA 207,78
dA 208,65
dA 209,121
dA 210,112
dA 211,35
dA 212,120
dA 213,74
dA 214,115
dA 215,139
dA 216,114
dA 217,168
dA 218,110
dA 219,165
dA 220,49
dA 221,72
dA 222,107
dA 223,77
dA 224,4
