dA 67,dA 80,dA 113,label
-0.01397,-0.004796,0.040203,0
-0.014728,-0.004419,0.040891,0
-0.016622,-0.005423,0.039318,0
-0.016597,-0.006266,0.037124,0
-0.024064,-0.007633,0.04687,0
-0.017159,-0.00594,0.039063,0
-0.019768,-0.006759,0.037518,0
-0.019345,-0.005958,0.040559,0
-0.019345,-0.005958,0.040559,0
-0.011318,-0.003866,0.039101,0
-0.020716,-0.006548,0.041196,0
-0.01381,-0.004176,0.03796,0
-0.015638,-0.00526,0.036119,0
-0.018273,-0.00644,0.03298,0
-0.023338,-0.007605,0.045825,0
-0.01707,-0.005457,0.039081,0
-0.015563,-0.005891,0.03696,0
-0.01616,-0.005797,0.035053,1
-0.019391,-0.007168,0.041418,0
-0.026309,-0.010121,0.04304,0
-0.017804,-0.006448,0.029912,0
-0.014781,-0.00502,0.031666,0
-0.013497,-0.005053,0.032384,1
-0.020504,-0.006627,0.040752,0
-0.018923,-0.005935,0.043826,0
-0.018232,-0.006908,0.03178,1
-0.0139,-0.005234,0.026813,1
-0.014026,-0.00479,0.030684,1
-0.013066,-0.004263,0.033242,0
-0.013311,-0.004507,0.030881,0
-0.016792,-0.005654,0.03815,1
-0.010396,-0.003349,0.035453,1
-0.009759,-0.002953,0.033353,0
-0.015345,-0.005223,0.03153,0
-0.012884,-0.004366,0.03096,1
-0.022744,-0.009501,0.03698,1
-0.028295,-0.013555,0.032614,1
-0.010562,-0.003997,0.027933,1
-0.023252,-0.009268,0.034096,1
-0.012631,-0.004165,0.034348,1
-0.015634,-0.005164,0.031439,1
-0.016945,-0.006311,0.040099,1
-0.022288,-0.008269,0.030661,1
-0.0127,-0.004313,0.02178,1
-0.018338,-0.006747,0.032751,1
-0.019239,-0.007156,0.033648,1
-0.019828,-0.006629,0.032324,1
-0.016331,-0.00601,0.033005,1
-0.017185,-0.007445,0.023255,1
-0.018522,-0.006589,0.028403,1
-0.009815,-0.003229,0.022325,1
-0.015248,-0.005683,0.030199,1
-0.015248,-0.005683,0.030199,1
-0.013225,-0.003707,0.037611,1
-0.013225,-0.003707,0.037611,1
-0.017475,-0.00653,0.033065,1
-0.026303,-0.008667,0.048809,0
-0.019219,-0.006692,0.042413,0
-0.015416,-0.005163,0.037325,0
