dA 81,dA 147,ddA 50,label
-0.004353,-0.000256,-0.002871,0
-0.004229,0.000138,-0.002644,0
-0.003002,0.000571,-0.002588,0
-0.003532,0.00045,-0.002741,0
-0.004534,0.000131,-0.002852,0
-0.003157,0.000534,-0.002333,0
-0.002787,0.001206,-0.001922,0
-0.003384,0.001138,-0.002757,0
-0.003384,0.001138,-0.002757,0
-0.003734,0.000533,-0.002541,0
-0.003764,0.000377,-0.002921,0
-0.003449,0.000114,-0.002515,0
-0.002609,0.000525,-0.002208,0
-0.002477,0.000529,-0.002364,0
-0.004519,0.000012,-0.002765,0
-0.003131,0.000414,-0.002156,0
-0.002964,0.000966,-0.002437,0
-0.003261,0.000931,-0.002384,1
-0.002166,0.001382,-0.002534,0
-0.001802,0.002344,-0.002504,0
-0.002104,0.000942,-0.001847,0
-0.001266,0.000778,-0.001964,0
-0.002362,0.00057,-0.002434,1
-0.003109,0.000694,-0.002569,0
-0.003807,0.000412,-0.002906,0
-0.000898,0.0007,-0.002341,1
-0.001694,0.000731,-0.002005,1
-0.002346,0.000849,-0.002034,1
-0.002495,0.000521,-0.002201,0
-0.002419,0.000601,-0.001989,0
-0.001692,0.000853,-0.002006,1
-0.002388,0.001032,-0.002193,1
-0.001968,0.000528,-0.002547,0
-0.0014,0.001118,-0.001862,0
-0.001435,0.000992,-0.001604,1
-0.000016,0.001225,-0.002711,1
0.002807,0.002459,-0.002189,1
-0.001288,0.001038,-0.001757,1
-0.001337,0.001869,-0.001794,1
-0.00217,0.001623,-0.001847,1
-0.002455,0.001163,-0.001841,1
-0.003003,0.000676,-0.001834,1
-0.001367,0.001119,-0.001332,1
0.00195,0.001223,-0.001621,1
-0.000619,0.002244,-0.002492,1
-0.000701,0.001408,-0.001695,1
0.000485,0.002127,-0.001393,1
-0.002294,0.000911,-0.002235,1
-0.000462,0.000982,-0.001469,1
0.002563,0.001468,-0.001132,1
-0.001862,0.000353,-0.001572,1
-0.000437,0.001148,-0.001438,1
-0.000437,0.001148,-0.001438,1
-0.001472,0.001679,-0.001404,1
-0.001472,0.001679,-0.001404,1
-0.000335,0.000282,-0.001443,1
-0.003375,0.00151,-0.002658,0
-0.002989,0.000695,-0.002573,0
-0.002544,0.000483,-0.002378,0
-0.003503,0.001162,-0.002173,0
-0.003503,0.001162,-0.002173,0
0.007406,0.001585,-0.000869,1
0.000617,0.002895,-0.000862,1
-0.000666,0.001245,-0.00166,1
-0.001474,0.002478,-0.001692,1
-0.000169,0.001888,-0.001218,1
-0.0014,0.002985,-0.001497,1
-0.000406,0.00217,-0.001816,0
0.000311,0.001359,-0.001852,1
-0.000827,0.003913,-0.002033,1
0.015555,0.002473,-0.000266,1
0.007885,0.00114,-0.00027,1
0.005993,0.003817,-0.001704,1
0.008247,0.002211,-0.000949,1
