ddA 1,ddA 2,ddA 3,ddA 4,ddA 5,ddA 6,ddA 7,ddA 8,ddA 9,ddA 10,ddA 11,ddA 12,ddA 13,ddA 14,ddA 15,ddA 16,ddA 17,ddA 18,ddA 19,ddA 20,ddA 21,ddA 22,ddA 23,ddA 24,ddA 25,ddA 26,ddA 27,ddA 28,ddA 29,ddA 30,ddA 31,ddA 32,ddA 33,ddA 34,ddA 35,ddA 36,ddA 37,ddA 38,ddA 39,ddA 40,ddA 41,ddA 42,ddA 43,ddA 44,ddA 45,ddA 46,ddA 47,ddA 48,ddA 49,ddA 50,ddA 51,ddA 52,ddA 53,ddA 54,ddA 55,ddA 56,ddA 57,ddA 58,ddA 59,ddA 60,ddA 61,ddA 62,ddA 63,ddA 64,ddA 65,ddA 66,ddA 67,ddA 68,ddA 69,ddA 70,ddA 71,ddA 72,ddA 73,ddA 74,ddA 75,ddA 76,ddA 77,ddA 78,ddA 79,ddA 80,ddA 81,ddA 82,ddA 83,ddA 84,ddA 85,ddA 86,ddA 87,ddA 88,ddA 89,ddA 90,ddA 91,ddA 92,ddA 93,ddA 94,ddA 95,ddA 96,ddA 97,ddA 98,ddA 99,ddA 100,ddA 101,ddA 102,ddA 103,ddA 104,ddA 105,ddA 106,ddA 107,ddA 108,ddA 109,ddA 110,ddA 111,ddA 112,ddA 113,ddA 114,ddA 115,ddA 116,ddA 117,ddA 118,ddA 119,ddA 120,ddA 121,ddA 122,ddA 123,ddA 124,ddA 125,ddA 126,ddA 127,ddA 128,ddA 129,ddA 130,ddA 131,ddA 132,ddA 133,ddA 134,ddA 135,ddA 136,ddA 137,ddA 138,ddA 139,ddA 140,ddA 141,ddA 142,ddA 143,ddA 144,ddA 145,ddA 146,ddA 147,ddA 148,ddA 149,ddA 150,ddA 151,ddA 152,ddA 153,ddA 154,ddA 155,ddA 156,ddA 157,ddA 158,ddA 159,ddA 160,ddA 161,ddA 162,ddA 163,ddA 164,ddA 165,ddA 166,ddA 167,ddA 168,ddA 169,ddA 170,ddA 171,ddA 172,ddA 173,ddA 174,ddA 175,ddA 176,ddA 177,ddA 178,ddA 179,ddA 180,ddA 181,ddA 182,ddA 183,ddA 184,ddA 185,ddA 186,ddA 187,ddA 188,ddA 189,ddA 190,ddA 191,ddA 192,ddA 193,ddA 194,ddA 195,ddA 196,ddA 197,ddA 198,ddA 199,ddA 200,ddA 201,ddA 202,ddA 203,ddA 204,ddA 205,ddA 206,ddA 207,ddA 208,ddA 209,ddA 210,ddA 211,ddA 212,ddA 213,ddA 214,ddA 215,ddA 216,ddA 217,ddA 218,ddA 219,ddA 220,ddA 221,ddA 222,ddA 223,ddA 224,ddA 225,label
-0.001047,-0.032302,-0.000922,0.00054,0.001538,0.000989,-0.000317,-0.000706,0.000611,0.000652,-0.000803,-0.000952,-0.000309,0.000041,0.000642,0.000785,0.000756,0.00116,0.00009,-0.000959,-0.000529,-0.000165,0.000266,0.000384,-0.000048,0.00006,0.000663,-0.000073,-0.001149,-0.000182,0.000747,-0.000254,-0.000154,0.0011,0.000873,0.000196,0.000196,0.001112,0.002267,0.002344,0.001622,0.001557,0.002024,0.001938,0.00189,0.00084,-0.001206,-0.001524,-0.001641,-0.002871,-0.003027,-0.002365,-0.001871,-0.000814,-0.00014,-0.000708,-0.001167,-0.001348,-0.001592,-0.001525,-0.001426,0.000123,0.001379,-0.003322,-0.00732,-0.001348,0.005394,0.004845,0.00346,0.002833,-0.000564,-0.002936,-0.002246,-0.001554,-0.000179,0.001419,0.001177,0.000117,-0.000334,0.000084,0.000335,-0.000213,-0.000056,0.001253,0.001396,0.000553,0.000024,-0.000725,-0.00144,-0.001537,-0.001007,-0.000068,0.000857,0.001314,0.001115,0.00037,-0.000371,-0.00035,0.000416,0.000728,0.000675,0.001242,0.001347,0.000859,0.00097,0.001463,0.002337,0.004017,0.005972,0.007395,0.007638,0.005977,0.003223,0.000729,-0.001215,-0.002602,-0.00346,-0.003109,-0.0011,-0.00062,-0.00261,-0.003231,-0.00229,-0.002399,-0.003802,-0.00345,-0.001767,-0.002008,-0.002524,-0.002063,-0.001482,-0.001213,-0.002715,-0.003965,-0.000198,0.004957,0.004107,0.000273,-0.001367,-0.001683,-0.001236,-0.00016,0.000075,-0.000281,0.000122,0.000594,0.00036,-0.000307,-0.000835,0.000166,0.000922,-0.000182,0.001955,0.013133,0.012109,-0.012756,-0.026696,-0.012508,0.007696,0.011064,0.004899,0.002047,0.00039,-0.000394,-0.000306,-0.000077,-0.000284,-0.000142,0.000258,-0.000037,-0.000011,-0.000026,-0.000674,-0.000524,0.000225,0.000331,-0.000095,-0.000052,0.000376,0.000015,-0.000503,-0.00173,-0.001728,0.000936,0.00156,0.000722,0.000056,-0.000401,0.000382,0.000465,0.000065,-0.000003,-0.000632,-0.001059,-0.001007,-0.000336,-0.000129,-0.000218,0.001552,0.000402,-0.002254,-0.000804,0.000745,0.001632,-0.000944,-0.001535,0.004615,0.003361,-0.002826,-0.002157,0.000842,-0.000018,0.001317,0.002983,-0.002096,-0.00334,0.000817,0.000312,-0.001255,-0.000166,0.000128,-0.000046,-0.135174,-0.134539,0.136608,0
-0.001306,-0.033834,-0.00085,-0.000953,-0.000174,0.001414,0.002295,0.000483,-0.001146,-0.000775,0.001246,0.000014,-0.001518,-0.000484,0.000651,0.001696,0.000975,-0.000811,-0.000196,0.000718,0.000442,-0.000235,-0.000557,-0.00025,-0.000296,0.000375,0.001035,-0.000159,-0.001182,-0.000075,0.000738,0.000074,0.000021,0.000132,0.000238,0.000542,0.000769,0.001453,0.001699,0.001647,0.001575,0.001384,0.001618,0.001697,0.002224,0.001709,-0.000788,-0.001723,-0.001989,-0.002644,-0.002235,-0.001979,-0.0018,-0.000871,-0.000548,-0.00101,-0.001125,-0.001226,-0.001543,-0.001642,-0.00143,0.000228,0.001527,-0.00277,-0.007302,-0.00229,0.004919,0.004954,0.003668,0.00345,-0.000018,-0.003299,-0.002886,-0.001157,0.000574,0.001367,0.000744,0.000004,-0.000279,-0.000069,0.000335,0.000252,0.000231,0.001006,0.001351,0.000513,-0.000246,-0.000673,-0.001047,-0.001012,-0.000803,-0.000352,0.000439,0.000983,0.001088,0.000338,-0.000716,-0.00041,0.000739,0.000742,0.000239,0.000921,0.001446,0.001151,0.00105,0.001289,0.001804,0.003567,0.005778,0.006902,0.007665,0.007344,0.004974,0.001629,-0.000691,-0.001315,-0.001121,-0.000346,-0.000342,-0.003057,-0.004561,-0.003349,-0.004445,-0.005901,-0.004676,-0.002494,-0.001458,-0.002008,-0.002254,-0.00187,-0.001104,-0.000536,0.000341,0.001453,-0.001881,-0.005803,-0.001995,0.003142,0.002748,0.000336,-0.00087,-0.000341,-0.000018,-0.000089,0.000376,0.000174,0.000035,0.000217,-0.000744,-0.000917,0.001171,0.001442,0.000434,0.005172,0.006465,-0.005919,-0.014818,-0.005451,0.006724,0.005179,0.000176,-0.000362,0.000171,0.000379,-0.000334,-0.000215,0.000651,0.000921,-0.000057,-0.001279,-0.000093,0.001208,0.00015,-0.001094,-0.000584,0.000798,-0.000099,-0.000624,0.001012,0.00051,-0.000622,0.00035,0.000874,0.000399,-0.000926,-0.001705,0.000617,0.001042,-0.000581,-0.000568,-0.001407,-0.000744,0.001501,0.001553,0.001102,0.001353,-0.001164,-0.004609,-0.001917,0.002453,0.00143,-0.002692,-0.002998,0.000675,0.00067,-0.001087,0.00213,0.005149,-0.001252,-0.005957,0.000959,0.004033,0.001002,0.001457,-0.001095,-0.003269,-0.001017,0.000481,0.003755,0.001385,-0.004707,0.000237,-0.158816,-0.163659,0.16204,0
-0.002602,-0.031087,0.000813,0.000084,0.000849,0.000944,0.000092,-0.000103,0.0008,0.000412,-0.000749,-0.001825,-0.000619,0.000704,0.000231,0.000308,0.001173,0.001731,0.000264,-0.001578,-0.000887,0.000512,0.000908,0.001008,0.000655,-0.001271,-0.001665,-0.000254,-0.000169,0.000244,0.000757,0.000427,0.000444,0.000433,0.001417,0.00295,0.000105,-0.004074,-0.001511,0.00343,0.003512,0.002375,0.002565,0.00145,0.000422,0.000877,0.000545,-0.000902,-0.001988,-0.002588,-0.0025,-0.001876,-0.001305,-0.000279,0.000033,-0.000836,-0.000479,0.000781,0.000699,-0.00162,-0.00331,0.001805,0.003644,-0.009602,-0.015852,-0.000624,0.011341,0.007975,0.003881,0.001728,-0.001922,-0.002711,-0.002799,-0.00401,-0.001789,0.001389,0.001695,0.00077,0.000587,0.001669,0.000887,-0.002128,-0.00148,0.002087,0.002444,0.000899,0.000113,-0.000591,-0.001211,-0.001283,-0.000496,0.000317,0.000566,0.000907,0.00104,0.000314,-0.000448,-0.000278,0.000455,0.000805,0.000778,0.00089,0.000995,0.000882,0.000675,0.000813,0.001541,0.002789,0.005091,0.007656,0.008314,0.00708,0.004713,0.001681,-0.000209,-0.000976,-0.001846,-0.001735,-0.000709,-0.001594,-0.003391,-0.00347,-0.003307,-0.004148,-0.004612,-0.003216,-0.001865,-0.002095,-0.00237,-0.002158,-0.001927,-0.001581,-0.001214,-0.00099,0.002647,0.006474,-0.000302,-0.009195,-0.007032,0.000648,0.004241,0.002179,0.00019,0.000147,0.000466,0.000656,0.000163,-0.000393,-0.000316,0.000481,0.000684,0.001163,0.011972,0.03969,0.025576,-0.042958,-0.072434,-0.034729,0.018539,0.031285,0.013766,0.00411,0.001775,0.001061,-0.000087,-0.000345,-0.000109,0.000372,0.000564,-0.000347,0.000102,0.000464,-0.000798,-0.001035,0.000007,0.000494,0.000385,0.000536,0.000156,-0.00049,-0.00045,-0.000354,-0.000639,-0.000267,0.000473,0.000257,-0.000302,0.000349,0.001027,0.000041,-0.000309,-0.000463,-0.000849,0.000075,0.0001,0.000394,0.000523,-0.001576,-0.000979,0.000938,-0.000076,-0.001327,-0.000849,0.000943,0.000047,-0.001018,0.002608,0.003204,-0.001164,-0.001587,0.000374,-0.000583,0.001005,0.002109,-0.002285,-0.001851,0.001663,0.000707,-0.000597,-0.000809,-0.00032,0.000328,-0.150532,-0.15046,0.151564,0
-0.003398,-0.031559,0.000582,0.002056,0.002477,-0.000866,-0.00047,0.000931,0.000522,-0.000419,-0.001153,-0.000326,0.000844,-0.000005,-0.000004,0.000432,0.000855,0.001481,-0.000152,-0.001515,-0.000755,0.000322,0.001385,0.001199,-0.000439,-0.001702,-0.001126,0.000291,0.000149,0.000206,0.000492,0.00028,0.000476,0.000335,0.001713,0.003361,0.000269,-0.004196,-0.001956,0.00385,0.004286,0.002298,0.002389,0.001047,-0.000098,0.000792,0.000448,-0.000868,-0.002039,-0.002741,-0.002549,-0.00215,-0.001213,0.000001,-0.000036,-0.000546,-0.000039,0.001239,0.001172,-0.001832,-0.003596,0.002007,0.003428,-0.010971,-0.016865,0.000058,0.012319,0.008369,0.003566,-0.000037,-0.003342,-0.000654,-0.00008,-0.00465,-0.003453,0.001021,0.001622,0.000526,0.000635,0.001956,0.001047,-0.002444,-0.001657,0.002447,0.002647,0.000901,0.00016,-0.000553,-0.001254,-0.001429,-0.000748,0.000075,0.000632,0.001227,0.001123,0.000426,-0.000174,-0.000538,0.000152,0.001054,0.000894,0.000772,0.001094,0.000804,0.000619,0.001148,0.001937,0.003434,0.00526,0.007076,0.00762,0.005926,0.003378,0.000759,-0.001016,-0.001561,-0.002336,-0.003085,-0.001667,-0.000641,-0.00225,-0.00302,-0.002299,-0.001935,-0.002999,-0.004047,-0.002511,-0.001324,-0.002211,-0.002298,-0.00141,-0.001537,-0.003341,-0.003355,0.004899,0.011608,0.001443,-0.011277,-0.008871,0.000485,0.004185,0.002042,-0.00008,-0.000317,0.000528,0.001167,0.00035,-0.000434,-0.000023,0.000755,0.00075,0.000368,0.012031,0.046299,0.033124,-0.049378,-0.088505,-0.040668,0.025586,0.037728,0.015503,0.004466,0.00115,0.000625,0.000194,-0.000394,-0.000026,0.000114,0.000111,0.000464,0.00001,-0.000232,-0.000346,-0.000996,-0.000362,0.00074,0.000491,0.000294,0.000147,-0.000442,-0.000779,-0.001229,-0.000918,0.000228,0.001246,0.001221,-0.000061,-0.000545,0.000159,0.000245,0.000333,0.000268,-0.000397,-0.00112,-0.001641,0.000039,0.001075,0.000137,0.000122,0.000054,-0.000205,-0.000159,-0.000626,-0.000237,0.000264,-0.00016,0.001243,0.002435,0.000721,-0.00109,-0.001331,0.000084,0.001392,0.001064,0.000765,-0.000515,-0.001819,-0.001252,-0.00048,0.000674,-0.000212,-0.001421,-0.129282,-0.128572,0.130588,0
0.000094,-0.045831,-0.00256,0.003151,0.002368,-0.00135,-0.002823,-0.000606,0.00342,0.000843,-0.001675,-0.00018,-0.000052,0.000591,0.000066,0.000338,0.001681,0.001529,-0.000399,-0.002593,-0.001132,0.001316,0.001803,0.000581,-0.000779,-0.001012,-0.000485,-0.000016,-0.000896,-0.000728,0.001162,0.00104,0.000433,0.001049,0.001735,0.002867,0.000191,-0.004224,-0.001383,0.004381,0.005193,0.003515,0.001974,0.000952,0.001341,0.001175,-0.000477,-0.00136,-0.001924,-0.002852,-0.003304,-0.003299,-0.001873,0.000085,0.000067,-0.00094,-0.000241,0.001605,0.001454,-0.002267,-0.003173,0.005178,0.00448,-0.01814,-0.025689,0.000444,0.018733,0.013171,0.006654,0.001041,-0.005577,-0.004038,-0.002634,-0.006154,-0.003631,0.001581,0.002346,0.001442,0.001695,0.00272,0.000795,-0.003143,-0.001608,0.003307,0.003149,0.000785,0.000443,-0.0003,-0.001417,-0.001458,-0.00104,-0.0002,0.000782,0.001535,0.00152,0.000187,-0.000626,0.000031,0.000651,0.000732,0.000967,0.001053,0.001013,0.000846,0.000724,0.001179,0.002008,0.004036,0.007009,0.009144,0.009289,0.007966,0.005365,0.001683,-0.000676,-0.001919,-0.003331,-0.003874,-0.002305,-0.001324,-0.003026,-0.003513,-0.002973,-0.003335,-0.003766,-0.004423,-0.003778,-0.002335,-0.002333,-0.002419,-0.00201,-0.002075,-0.003251,-0.003279,0.005952,0.013413,0.000113,-0.014765,-0.009378,0.002097,0.004691,0.001883,-0.000278,-0.000146,0.000461,0.000963,0.001006,0.000014,-0.000184,0.000572,0.000705,0.000472,0.017698,0.069843,0.050946,-0.080174,-0.138813,-0.050284,0.049458,0.053916,0.018056,0.004786,0.001628,0.000734,-0.000074,-0.000676,-0.000545,0.000475,0.000981,0.000682,-0.000045,-0.000769,-0.001115,-0.000412,0.000677,0.000135,-0.000134,0.000755,-0.000137,-0.00098,-0.000219,-0.001378,-0.00162,0.00084,0.001186,0.000871,0.000776,-0.000484,0.00015,0.000856,0.000401,-0.00067,-0.001233,-0.000635,-0.001144,0.000101,0.000554,-0.000589,0.000667,0.001094,-0.000101,-0.000077,-0.000582,-0.001755,-0.001208,0.001258,0.003112,0.001868,-0.00066,-0.00096,-0.000333,-0.00076,0.001536,0.002857,-0.000641,-0.002981,-0.000592,0.002468,0.001108,-0.003165,-0.002375,0.001268,-0.169431,-0.169784,0.171215,0
-0.001933,-0.030172,-0.000735,0.00122,0.002266,0.000581,-0.001261,-0.000636,0.001897,0.000205,-0.001378,-0.000053,0.000669,-0.000542,-0.000146,0.000986,0.00091,0.001371,-0.000363,-0.001971,-0.000691,0.001048,0.001524,0.000731,-0.000348,-0.001253,-0.001201,-0.000067,-0.000087,0.000053,0.000782,0.000581,0.000322,0.000209,0.001939,0.003304,-0.000091,-0.004318,-0.001907,0.003659,0.003885,0.0025,0.002989,0.000742,-0.00084,0.001046,0.00109,-0.000951,-0.002303,-0.002333,-0.002064,-0.002022,-0.001056,0.000065,-0.000205,-0.000874,-0.000131,0.001525,0.001583,-0.001564,-0.003355,0.002874,0.003754,-0.012927,-0.019129,0.000345,0.013903,0.009078,0.003745,0.000383,-0.003134,-0.001555,-0.001525,-0.005289,-0.003269,0.001361,0.002046,0.000937,0.000877,0.002086,0.000945,-0.002589,-0.001666,0.002525,0.002651,0.000841,0.000145,-0.000682,-0.001327,-0.001357,-0.000628,0.000291,0.000687,0.001069,0.000997,0.000395,-0.000068,-0.000382,0.000178,0.000856,0.000666,0.000834,0.001193,0.000669,0.000536,0.001329,0.002146,0.003571,0.005602,0.007574,0.008033,0.006166,0.003663,0.001133,-0.000878,-0.001683,-0.001781,-0.001459,-0.001117,-0.001932,-0.003186,-0.003325,-0.003442,-0.003405,-0.003335,-0.003908,-0.002729,-0.001158,-0.001839,-0.002033,-0.001262,-0.001376,-0.001615,-0.000648,0.00429,0.007643,-0.00156,-0.012056,-0.008026,0.001775,0.004941,0.002605,0.000334,-0.000086,0.000573,0.000647,0.000115,0.000081,0.000025,0.000027,0.000307,0.001267,0.013142,0.048113,0.03516,-0.053443,-0.095761,-0.039897,0.031259,0.038703,0.013822,0.003844,0.001154,0.000722,0.000281,0.000134,0.00044,0.000104,-0.000361,0.000083,0.000296,0.000092,-0.000463,-0.001121,-0.000252,0.000635,0.0006,0.00068,-0.000171,-0.00056,-0.000118,-0.00055,-0.000333,0.000281,-0.000091,-0.000221,0.000397,0.000571,0.000474,-0.000251,-0.000665,-0.000242,-0.000143,-0.000165,-0.000187,0.000461,-0.000094,-0.001177,-0.000277,0.000179,-0.00008,-0.000153,-0.000898,-0.000901,-0.000399,0.000021,0.002464,0.002617,-0.000257,-0.001029,-0.000623,0.000738,0.001393,-0.000067,-0.000002,0.000142,-0.001772,-0.000884,0.000121,0.000273,0.001333,-0.000314,-0.144227,-0.143026,0.144236,0
-0.001844,-0.038468,-0.000097,-0.000552,0.001797,0.000717,-0.001132,-0.001212,0.001454,0.001975,-0.001125,-0.001085,0.000186,0.000574,0.000424,0.00028,0.001314,0.002088,-0.000586,-0.003862,-0.001066,0.002362,0.00175,0.001403,-0.000034,-0.003226,-0.002054,0.001123,-0.000243,-0.000706,0.001313,0.00105,0.000426,0.000904,0.003045,0.00525,-0.000059,-0.008053,-0.004176,0.005046,0.006012,0.003641,0.00201,-0.000801,-0.000678,0.001398,0.000445,-0.001502,-0.002071,-0.001922,-0.001869,-0.002314,-0.001368,0.000671,0.000023,-0.001169,0.000927,0.003534,0.002817,-0.002219,-0.004074,0.005631,0.004782,-0.020719,-0.026865,0.002555,0.019919,0.012283,0.004618,-0.001627,-0.005452,-0.000269,-0.000974,-0.008458,-0.005791,0.001401,0.003,0.001907,0.001912,0.003253,0.000904,-0.004119,-0.002094,0.003501,0.003186,0.000888,0.000337,-0.000477,-0.001339,-0.001587,-0.000896,0.000227,0.000722,0.001402,0.001369,-0.000048,-0.000781,-0.000291,0.00029,0.000694,0.001025,0.000999,0.001066,0.00108,0.001467,0.002427,0.002844,0.003759,0.005389,0.006494,0.006291,0.005205,0.003974,0.001375,-0.000806,-0.001482,-0.002556,-0.002884,-0.001317,-0.000574,-0.002359,-0.003113,-0.002217,-0.002324,-0.003322,-0.004261,-0.002929,-0.001481,-0.002368,-0.002115,-0.001642,-0.002265,-0.00328,-0.0025,0.009028,0.016915,-0.002031,-0.021524,-0.013392,0.00314,0.007837,0.003868,-0.000185,-0.000699,0.001062,0.001769,0.000479,0.000109,0.000218,0.000151,0.000575,0.001321,0.024057,0.088679,0.060336,-0.10276,-0.170128,-0.063787,0.057805,0.067998,0.024123,0.006488,0.002018,0.000964,0.000296,-0.000277,-0.000158,0.000236,0.000667,0.000745,-0.000166,-0.000538,-0.000523,-0.001151,-0.000388,0.000839,0.000637,0.000204,-0.000275,-0.000253,-0.000433,-0.001558,-0.001154,0.000887,0.001552,0.000014,-0.000122,0.00084,0.000726,-0.000365,-0.000483,0.000132,-0.0007,-0.001218,-0.001368,0.000469,0.00083,-0.000394,0.000845,0.000332,-0.000293,-0.000535,-0.001002,-0.000567,-0.000935,0.000871,0.003543,0.002477,-0.001148,-0.002566,-0.000268,0.002116,0.002158,-0.000069,-0.001426,-0.000048,0.000348,-0.000292,-0.000599,-0.002737,-0.001436,0.001768,-0.150609,-0.151339,0.1525,0
-0.000735,-0.027744,-0.001172,-0.000128,0.000538,0.00076,0.001108,0.000236,-0.000137,-0.000361,0.000045,0.000185,-0.000107,-0.000484,-0.000489,0.000844,0.001358,0.000584,-0.000099,-0.001298,-0.001104,0.000471,0.001102,0.001681,0.000759,-0.002141,-0.001733,0.000559,-0.000258,-0.00039,0.000817,0.00045,0.000518,0.000709,0.001548,0.003416,0.000834,-0.004736,-0.003196,0.003241,0.004678,0.003225,0.002569,0.000844,0.00035,0.001192,0.000054,-0.000911,-0.001705,-0.002757,-0.002205,-0.001878,-0.001696,-0.000242,0.000175,-0.000747,-0.000306,0.001179,0.001128,-0.001571,-0.00336,0.001991,0.004116,-0.009775,-0.018162,-0.00275,0.012335,0.009736,0.004415,0.001386,-0.002802,-0.002622,-0.001815,-0.004182,-0.003003,0.000639,0.00169,0.001183,0.00097,0.001842,0.001109,-0.002474,-0.00205,0.002465,0.003086,0.00085,-0.000157,-0.000649,-0.001141,-0.001076,-0.000834,-0.000122,0.000788,0.001127,0.001129,0.000447,-0.000531,-0.000611,0.000444,0.001048,0.000682,0.000929,0.001116,0.000753,0.001043,0.001396,0.001728,0.003682,0.006167,0.007241,0.00763,0.006966,0.004729,0.001649,-0.000978,-0.001827,-0.001455,-0.000475,-0.00045,-0.003137,-0.004363,-0.003036,-0.004158,-0.005616,-0.004531,-0.002572,-0.001408,-0.001797,-0.002311,-0.001946,-0.001147,-0.000685,0.00012,0.00146,0.003156,0.002448,-0.003865,-0.00921,-0.006398,0.001344,0.005083,0.002939,0.000387,0.000271,0.000923,0.000479,-0.000048,-0.00033,-0.000377,0.000006,0.000802,0.002081,0.01209,0.035997,0.021494,-0.038078,-0.063903,-0.034855,0.012808,0.029038,0.014047,0.004138,0.001543,0.000776,0.000397,0.00033,0.00048,0.00058,-0.000013,-0.000727,0.000169,0.000674,-0.000141,-0.001006,-0.000802,0.000646,0.000768,-0.000084,0.000264,-0.000026,-0.000363,0.000499,0.000495,-0.000133,-0.000863,-0.000625,0.000659,0.000388,-0.000553,-0.000059,-0.000364,-0.001351,0.000201,0.00177,0.001226,0.000671,-0.001515,-0.003811,-0.000388,0.002563,-0.000694,-0.002614,-0.000764,0.00024,-0.000248,0.000119,0.002529,0.002324,-0.001355,-0.002353,0.000542,0.002109,0.00177,0.001975,-0.001317,-0.004872,-0.001986,0.002377,0.002903,0.000368,-0.002673,-0.000258,-0.147788,-0.149831,0.150405,0
-0.000735,-0.027744,-0.001172,-0.000128,0.000538,0.00076,0.001108,0.000236,-0.000137,-0.000361,0.000045,0.000185,-0.000107,-0.000484,-0.000489,0.000844,0.001358,0.000584,-0.000099,-0.001298,-0.001104,0.000471,0.001102,0.001681,0.000759,-0.002141,-0.001733,0.000559,-0.000258,-0.00039,0.000817,0.00045,0.000518,0.000709,0.001548,0.003416,0.000834,-0.004736,-0.003196,0.003241,0.004678,0.003225,0.002569,0.000844,0.00035,0.001192,0.000054,-0.000911,-0.001705,-0.002757,-0.002205,-0.001878,-0.001696,-0.000242,0.000175,-0.000747,-0.000306,0.001179,0.001128,-0.001571,-0.00336,0.001991,0.004116,-0.009775,-0.018162,-0.00275,0.012335,0.009736,0.004415,0.001386,-0.002802,-0.002622,-0.001815,-0.004182,-0.003003,0.000639,0.00169,0.001183,0.00097,0.001842,0.001109,-0.002474,-0.00205,0.002465,0.003086,0.00085,-0.000157,-0.000649,-0.001141,-0.001076,-0.000834,-0.000122,0.000788,0.001127,0.001129,0.000447,-0.000531,-0.000611,0.000444,0.001048,0.000682,0.000929,0.001116,0.000753,0.001043,0.001396,0.001728,0.003682,0.006167,0.007241,0.00763,0.006966,0.004729,0.001649,-0.000978,-0.001827,-0.001455,-0.000475,-0.00045,-0.003137,-0.004363,-0.003036,-0.004158,-0.005616,-0.004531,-0.002572,-0.001408,-0.001797,-0.002311,-0.001946,-0.001147,-0.000685,0.00012,0.00146,0.003156,0.002448,-0.003865,-0.00921,-0.006398,0.001344,0.005083,0.002939,0.000387,0.000271,0.000923,0.000479,-0.000048,-0.00033,-0.000377,0.000006,0.000802,0.002081,0.01209,0.035997,0.021494,-0.038078,-0.063903,-0.034855,0.012808,0.029038,0.014047,0.004138,0.001543,0.000776,0.000397,0.00033,0.00048,0.00058,-0.000013,-0.000727,0.000169,0.000674,-0.000141,-0.001006,-0.000802,0.000646,0.000768,-0.000084,0.000264,-0.000026,-0.000363,0.000499,0.000495,-0.000133,-0.000863,-0.000625,0.000659,0.000388,-0.000553,-0.000059,-0.000364,-0.001351,0.000201,0.00177,0.001226,0.000671,-0.001515,-0.003811,-0.000388,0.002563,-0.000694,-0.002614,-0.000764,0.00024,-0.000248,0.000119,0.002529,0.002324,-0.001355,-0.002353,0.000542,0.002109,0.00177,0.001975,-0.001317,-0.004872,-0.001986,0.002377,0.002903,0.000368,-0.002673,-0.000258,-0.147788,-0.149831,0.150405,0
-0.002791,-0.027427,0.001322,-0.000149,0.000292,0.000401,0.000274,0.000363,0.000886,0.000545,-0.000825,-0.002371,-0.000431,0.001099,0.00053,0.000947,0.000489,0.000419,0.000808,-0.00051,-0.000772,0.00031,0.000149,-0.000532,0.000265,0.000867,-0.000062,-0.000916,-0.000517,0.000347,0.000338,0.000373,0.000533,0.000294,0.000424,0.000505,0.000185,0.001514,0.00287,0.001847,0.001144,0.001149,0.001336,0.002312,0.002178,0.000375,-0.001101,-0.001807,-0.002298,-0.002541,-0.002288,-0.001883,-0.001596,-0.000677,-0.000328,-0.001164,-0.001368,-0.001297,-0.001531,-0.001323,-0.001048,0.000112,0.001092,-0.0022,-0.005291,-0.00115,0.003853,0.003368,0.002563,0.003073,0.000516,-0.003072,-0.00318,-0.001152,0.000839,0.001677,0.001124,0.000158,-0.000517,-0.000261,0.000206,0.000067,0.000052,0.000821,0.001145,0.000616,-0.000096,-0.001125,-0.002014,-0.002068,-0.000896,0.000399,0.00098,0.001486,0.001432,0.000485,-0.000524,-0.00076,-0.000065,0.00074,0.001089,0.001224,0.00129,0.001344,0.001434,0.002006,0.003534,0.005234,0.006754,0.007408,0.005881,0.003541,0.001054,-0.001649,-0.002651,-0.002665,-0.003171,-0.002811,-0.001575,-0.001718,-0.002608,-0.002288,-0.002069,-0.002868,-0.003182,-0.00195,-0.000775,-0.00105,-0.001681,-0.001696,-0.001279,-0.000742,-0.00062,-0.001204,-0.000612,0.001675,0.00192,-0.000317,-0.001458,-0.000765,0.000159,0.000108,-0.000066,0.000082,0.000441,0.000575,-0.000289,-0.000777,-0.000407,0.000142,0.000328,0.000162,-0.000336,0.003199,0.006164,-0.00289,-0.010711,-0.003327,0.005051,0.003236,0.000237,0.000064,0.000291,0.000286,-0.000477,-0.000329,-0.000133,0.000048,0.000372,-0.000316,-0.000153,0.000292,-0.000141,-0.000339,-0.000447,-0.000407,0.000371,0.001049,0.000254,-0.000708,-0.000308,-0.0001,-0.000814,-0.000579,0.000508,0.000561,-0.000293,0.00014,0.000836,0.00008,0.000096,-0.000421,-0.001334,-0.00015,0.000446,-0.000021,0.000285,-0.00041,-0.00088,0.000172,-0.000596,-0.001429,-0.000148,0.001253,0.000051,-0.001104,0.002627,0.003773,-0.001357,-0.002224,-0.000213,-0.000354,0.002038,0.001783,-0.003097,-0.001703,0.00262,0.000785,-0.00136,-0.00051,0.00097,0.001438,-0.127746,-0.128381,0.127596,0
