dA 81,dA 147,ddA 50,label
-0.00257,0.00193,-0.002453,1
-0.004506,0.001919,-0.001414,1
-0.002892,0.002426,-0.000421,1
0.006326,0.002367,0.00112,1
0.000397,0.0024,-0.000683,1
0.003591,0.002078,-0.000696,1
0.005215,0.002289,0.000547,1
0.005108,0.001462,-0.000031,1
0.003027,0.003395,0.00009,1
0.003027,0.003395,0.00009,1
0.00878,0.002568,-0.000759,1
-0.001002,0.001104,-0.000097,1
0.001677,0.002437,0.000171,1
0.001677,0.002437,0.000171,1
0.00752,0.001872,-0.000277,1
0.00011,0.002038,-0.000829,1
0.010051,0.002196,-0.000421,1
-0.001165,0.001426,-0.001188,1
0.01428,0.001804,-0.000146,1
0.01428,0.001804,-0.000146,1
0.00817,0.00259,-0.001208,1
-0.000338,0.002372,-0.000432,1
0.003586,0.004497,0.001692,1
-0.004803,0.001731,-0.002477,0
-0.004162,0.001265,-0.001554,1
-0.003754,0.001145,-0.001466,1
0.002294,0.001416,-0.00146,1
0.000162,0.002302,-0.001264,1
0.001871,0.001522,-0.001424,1
-0.00195,0.001695,-0.00099,1
-0.000542,0.001284,-0.000241,1
-0.001256,0.001402,-0.000959,1
-0.001256,0.001402,-0.000959,1
-0.000115,0.001239,-0.001865,1
0.004915,0.001688,0.000178,1
0.000948,0.002141,-0.001977,1
-0.002752,0.000913,-0.002438,0
0.007052,0.002763,0.000182,1
-0.001196,0.001732,-0.00167,1
0.001018,0.001431,-0.001947,1
0.00189,0.0009,-0.000755,1
-0.000076,0.000958,-0.001275,1
-0.001228,0.002308,-0.002573,1
0.008068,0.001843,0.000549,1
-0.001712,0.003021,-0.001837,1
0.002042,0.001573,-0.001098,1
0.002042,0.001573,-0.001098,1
0.003691,0.002067,-0.001583,1
0.011776,0.003834,0.001001,1
0.007687,0.004051,-0.000002,1
-0.001693,0.003489,-0.001589,1
0.006268,0.003756,0.000232,1
0.006799,0.004329,-0.000043,1
0.006799,0.004329,-0.000043,1
0.006041,0.002546,-0.000738,1
-0.00083,0.002042,-0.001089,1
0.015386,0.002745,-0.001367,1
0.015386,0.002745,-0.001367,1
-0.000583,0.002973,-0.000358,1
0.001585,0.003795,-0.000677,1
-0.004054,0.000858,-0.002343,0
-0.003555,0.000998,-0.002085,0
-0.003711,0.000662,-0.002272,0
-0.004169,0.000049,-0.002708,0
-0.004453,0.000653,-0.002503,0
-0.003832,-0.000105,-0.00289,0
-0.004155,0.000658,-0.003023,0
-0.004929,0.000391,-0.002626,0
-0.000052,0.001123,-0.000465,0
-0.005072,0.000875,-0.003048,0
-0.00264,0.000275,-0.002206,0
-0.00264,0.000275,-0.002206,0
-0.001623,0.001273,-0.00298,0
-0.000948,0.000754,-0.002225,0
0.001646,0.001752,-0.001017,0
