dA 81,dA 217,ddA 111,label
-0.004353,-0.002954,0.007638,0
-0.004229,-0.004263,0.007665,0
-0.003002,-0.002144,0.008314,0
-0.003532,0.000511,0.00762,0
-0.004534,-0.002782,0.009289,0
-0.003157,-0.000028,0.008033,0
-0.002787,0.000779,0.006291,0
-0.003384,-0.006861,0.00763,0
-0.003384,-0.006861,0.00763,0
-0.003734,-0.002163,0.005881,0
-0.003764,-0.001543,0.007202,0
-0.003449,-0.006199,0.008349,0
-0.002609,-0.000381,0.008282,0
-0.002477,0.001131,0.00674,0
-0.004519,-0.001907,0.008307,0
-0.003131,0.001752,0.007559,0
-0.002964,-0.000146,0.005985,0
-0.003261,-0.00087,0.006566,1
-0.002166,-0.00124,0.007651,0
-0.001802,-0.001592,0.006127,0
-0.002104,0.001693,0.006656,0
-0.001266,0.00247,0.006461,0
-0.002362,0.002663,0.006541,1
-0.003109,0.000338,0.007645,0
-0.003807,-0.00303,0.00902,0
-0.000898,-0.001075,0.004338,1
-0.001694,0.002103,0.004309,1
-0.002346,0.001445,0.006654,1
-0.002495,0.000719,0.007922,0
-0.002419,-0.001205,0.006526,0
-0.001692,-0.001754,0.005439,1
-0.002388,0.001837,0.004904,1
-0.001968,0.001421,0.003593,0
-0.0014,0.001154,0.005049,0
-0.001435,-0.001145,0.00602,1
-0.000016,0.002807,0.006294,1
0.002807,0.003538,0.003836,1
-0.001288,0.001617,0.004537,1
-0.001337,0.000289,0.004583,1
-0.00217,-0.001338,0.005797,1
-0.002455,-0.001495,0.00698,1
-0.003003,0.00107,0.005358,1
-0.001367,0.001715,0.004673,1
0.00195,0.003236,0.004068,1
-0.000619,0.002086,0.006274,1
-0.000701,0.000692,0.005013,1
0.000485,-0.001883,0.002057,1
-0.002294,0.00116,0.006263,1
-0.000462,0.001721,0.000999,1
0.002563,0.001446,0.005567,1
-0.001862,0.00164,0.00461,1
-0.000437,-0.001001,0.002971,1
-0.000437,-0.001001,0.002971,1
-0.001472,-0.002053,0.00779,1
-0.001472,-0.002053,0.00779,1
-0.000335,-0.000618,0.003272,1
-0.003375,-0.00258,0.008803,0
-0.002989,0.000469,0.00672,0
-0.002544,-0.000047,0.005295,0
-0.003503,-0.001086,0.008954,0
-0.003503,-0.001086,0.008954,0
0.007406,-0.00113,-0.002064,1
0.000617,-0.002275,-0.005094,1
-0.000666,0.001486,0.004161,1
-0.001474,0.000387,0.006535,1
-0.000169,0.001138,0.002997,1
-0.0014,-0.00119,0.006857,1
-0.000406,0.0024,0.007038,0
0.000311,0.002345,0.003997,1
-0.000827,0.001038,0.005552,1
0.015555,-0.000929,-0.001948,1
0.007885,0.001235,0.002294,1
0.005993,0.002568,0.002829,1
0.008247,0.003357,0.00087,1
-0.002489,-0.003082,0.003987,0
0.001559,-0.003275,0.002716,0
-0.001881,-0.001075,0.003923,0
-0.000785,-0.0008,0.002941,0
-0.002089,-0.000254,0.004828,0
-0.001049,-0.00292,0.003652,0
0.000095,-0.001463,0.002137,0
0.000951,-0.001646,0.002438,0
-0.002893,-0.004775,0.007291,0
-0.002666,-0.000696,0.005788,1
-0.002114,-0.00207,0.005302,0
-0.002395,-0.002953,0.003834,0
0.002695,-0.001461,-0.004653,1
0.002169,-0.002249,0.000955,1
0.001075,-0.00273,0.00188,1
-0.00073,-0.003478,0.001352,1
-0.000121,-0.004748,0.005262,1
-0.001725,-0.002024,0.006115,0
-0.002398,-0.003498,0.004019,1
0.005614,-0.003779,-0.001161,1
0.003234,-0.004797,-0.004014,1
